Millbank Tower, Pimlico@51.491884#-0.125674
Tallis Street, Temple@51.511891#-0.107349
Castlehaven Road, Camden Town@51.542138#-0.145393
Natural History Museum, South Kensington@51.495592#-0.179077
New Inn Yard, Shoreditch@51.524526#-0.079248
St. Luke's Church, Chelsea@51.489716#-0.170194
Lambeth North Station, Waterloo@51.49914#-0.112031
New Fetter Lane, Holborn@51.517428#-0.107987
Pont Street, Knightsbridge@51.496886#-0.161203
Millennium Hotel, Mayfair@51.510919#-0.151126
Holy Trinity Brompton, Knightsbridge@51.497056#-0.168917
Wellington Street , Strand@51.511756#-0.119643
St. Mary Axe, Aldgate@51.514225#-0.08066
London Zoo Car Park, The Regent's Park@51.536922#-0.150181
Kensington Church Street, Kensington@51.503157#-0.191496
LSBU (Borough Road), Elephant & Castle@51.498744#-0.103132
Eagle Wharf Road, Hoxton@51.53356#-0.09315
Eaton Square (South), Belgravia@51.494561#-0.153933
Howick Place, Westminster@51.496753#-0.138733
Torrens Street, Angel@51.532199#-0.10548
Crawford Street, Marylebone@51.52026#-0.157183
Great Marlborough Street, Soho@51.514619#-0.137841
Museum of London, Barbican@51.517821#-0.096496
Green Park Station, Mayfair@51.506613#-0.142844
Stonecutter Street, Holborn@51.515809#-0.10527
Queen Street 2, Bank@51.511246#-0.093051
Royal Avenue 2, Chelsea@51.490083#-0.162418
Stephendale Road, Sands End@51.46822#-0.190346
Borough High Street, The Borough@51.500694#-0.094524
Charing Cross Hospital, Hammersmith@51.487285#-0.217995
Park Road (Baker Street), The Regent's Park@51.524517#-0.158963
St. John's Wood Church, The Regent's Park@51.530052#-0.168314
Clerkenwell Green, Clerkenwell@51.52326#-0.104708
Wellington Row, Bethnal Green@51.528222#-0.069743
Clapham Common North side, Clapham Common@51.461343#-0.159322
Kensington Gore, Knightsbridge@51.501432#-0.178656
Boston Place, Marylebone@51.522511#-0.162298
Bunhill Row, Moorgate@51.520858#-0.089887
Snowsfields, London Bridge@51.502153#-0.083632
Mile End Stadium, Mile End@51.518541#-0.034903
Exhibition Road Museums, South Kensington@51.496957#-0.173894
Baldwin Street, St. Luke's@51.527025#-0.088542
George Street, Marylebone@51.517703#-0.154106
Euston Road, Euston@51.526236#-0.134407
Crinan Street, King's Cross@51.534474#-0.122203
Borough Road, Elephant & Castle@51.498898#-0.10044
Broadley Terrace, Marylebone@51.524561#-0.165668
Broadwick Street, Soho@51.513684#-0.13558
Triangle Car Park, Hyde Park@51.506451#-0.170279
Newgate Street , St. Paul's@51.515418#-0.09885
Abbotsbury Road, Holland Park@51.501391#-0.205991
Waterloo Station 1, Waterloo@51.504027#-0.113864
Bruton Street, Mayfair@51.510736#-0.144165
Tavistock Place, Bloomsbury@51.52625#-0.123509
Thessaly Road North, Wandsworth Road@51.477322#-0.138748
Lollard Street, Vauxhall@51.49288#-0.114934
London Zoo,  The Regent's Park@51.535836#-0.156285
Barons Court Station, West Kensington@51.490217#-0.215087
Nutford Place, Marylebone@51.516517#-0.164393
Chepstow Villas, Notting Hill@51.512136#-0.201554
LMU Commercial Road, Whitechapel@51.514924#-0.066078
Riverlight North, Nine Elms@51.482362#-0.136123
Princedale Road , Holland Park@51.506465#-0.208486
Imperial College, Knightsbridge@51.499428#-0.179702
Christopher Street, Liverpool Street@51.521283#-0.084605
Waterloo Station 3, Waterloo@51.503791#-0.112824
East India DLR, Blackwall@51.509474#-0.002275
Hardwick Street, Clerkenwell@51.527842#-0.108068
Westfield Southern Terrace ,Shepherd's Bush@51.506256#-0.218337
Battersea Church Road, Battersea@51.476964#-0.174347
Abingdon Villas, Kensington@51.497387#-0.197245
Chancery Lane, Holborn@51.514274#-0.111257
Bonny Street, Camden Town@51.541603#-0.138853
Drayton Gardens, West Chelsea@51.487196#-0.179369
Broomhouse Lane, Parsons Green@51.468418#-0.199135
Howland Street, Fitzrovia@51.520994#-0.139016
Sumner Place, South Kensington@51.491211#-0.173715
Phillimore Gardens, Kensington@51.499606#-0.197574
Lansdowne Road, Ladbroke Grove@51.507481#-0.205535
Red Lion Square, Holborn@51.519435#-0.119123
World's End Place, West Chelsea@51.481805#-0.180274
Milroy Walk, South Bank@51.507244#-0.106237
Royal Avenue 1, Chelsea@51.489932#-0.162727
Great Titchfield Street, Fitzrovia@51.520253#-0.141327
Ilchester Place, Kensington@51.500743#-0.202759
The Tennis Courts, The Regent's Park@51.525367#-0.153463
Erin Close, Walham Green@51.479463#-0.195777
Putney Bridge Road, East Putney@51.461999#-0.20624
Derry Street, Kensington@51.501364#-0.191462
Normand Park, West Kensington@51.484386#-0.204815
Bell Street , Marylebone@51.522029#-0.165842
Morie Street, Wandsworth@51.459953#-0.190184
Queen's Gate, Kensington Gardens@51.501715#-0.179854
Parson's Green , Parson's Green@51.472817#-0.199783
Hyde Park Corner, Hyde Park@51.503117#-0.15352
Vauxhall Bridge , Pimlico@51.488365#-0.129361
New Kent Road, The Borough@51.494436#-0.092921
Eversholt Street , Camden Town@51.533005#-0.136792
Sardinia Street, Holborn@51.515208#-0.117863
Wright's Lane, Kensington@51.500397#-0.193068
Bank of England Museum, Bank@51.514441#-0.087587
Wood Street, Guildhall@51.517008#-0.093885
Chapel Place, Marylebone@51.515308#-0.147203
Ravenscourt Park Station, Hammersmith@51.494223#-0.236769
Alpha Grove, Millwall@51.497304#-0.022793
Calshot Street , King's Cross@51.53136#-0.117069
Alderney Street, Pimlico@51.488057#-0.140741
Ormonde Gate, Chelsea@51.487964#-0.161765
